Name,Building Families' Capacity as their Child's Primary Advocate,Building Families' Capacity as their Child's Primary Teacher,Inclusive Leadership,Outreach to Parents,Parent Involvement in School,Parent-Principal Trust,Parent-Teacher Trust,Strong Relationships,Two-Way Communication
02M150 - P.S. 150,100.0,100.0,77.0,87.0,93.0,81.0,92.0,100.0,100.0
02M151 - Yorkville Community School,50.0,75.0,93.0,95.0,93.0,95.0,96.0,100.0,67.0
02M158 - P.S. 158 Bayard Taylor,67.0,96.0,96.0,95.0,91.0,99.0,97.0,100.0,96.0
02M167 - J.H.S. 167 Robert F. Wagner,,,81.0,84.0,74.0,87.0,87.0,,
02M177 - Yorkville East Middle School,,,91.0,90.0,89.0,96.0,94.0,,
02M183 - P.S. 183 Robert L. Stevenson,100.0,100.0,98.0,99.0,93.0,99.0,98.0,100.0,100.0
02M198 - P.S. 198 Isador E. Ida Straus,80.0,80.0,94.0,94.0,94.0,96.0,94.0,100.0,100.0
02M212 - P.S. 212 Midtown West,82.0,100.0,96.0,95.0,94.0,94.0,97.0,100.0,100.0
02M217 - P.S./I.S. 217 Roosevelt Island,41.0,86.0,90.0,93.0,88.0,93.0,94.0,100.0,83.0
02M225 - Ella Baker School,42.0,90.0,95.0,98.0,96.0,96.0,99.0,100.0,86.0
02M234 - P.S. 234 Independence School,,,90.0,93.0,92.0,91.0,93.0,,
02M255 - M.S. 255 Salk School of Science,,,97.0,95.0,89.0,98.0,96.0,,
02M260 - The Clinton School,,,93.0,91.0,84.0,93.0,93.0,,
"02M267 - East Side Elementary School, PS 267",,,54.0,85.0,91.0,59.0,89.0,,
02M276 - Battery Park City School,67.0,93.0,92.0,91.0,90.0,92.0,94.0,100.0,86.0
02M280 - Manhattan Early College School for Advertising,,,98.0,83.0,86.0,100.0,92.0,,
02M281 - The River School,69.0,92.0,94.0,97.0,94.0,96.0,98.0,97.0,94.0
02M282 - Urban Assembly Maker Academy,,,100.0,92.0,83.0,100.0,97.0,,
02M288 - Food and Finance High School,,,92.0,90.0,82.0,94.0,97.0,,
02M289 - I.S. 289,,,98.0,94.0,81.0,99.0,93.0,,
02M290 - P.S. 290 Manhattan New School,,90.0,88.0,92.0,93.0,90.0,94.0,100.0,80.0
02M294 - Essex Street Academy,,,100.0,95.0,84.0,99.0,99.0,,
02M296 - High School of Hospitality Management,,,97.0,93.0,53.0,95.0,89.0,,
02M297 - M.S. 297,,,92.0,89.0,83.0,91.0,89.0,,
02M298 - Pace High School,,,96.0,88.0,82.0,96.0,90.0,,
"02M300 - Urban Assembly School of Design and Construction, The",,,93.0,96.0,80.0,96.0,100.0,,
"02M303 - Facing History School, The",,,96.0,100.0,83.0,99.0,100.0,,
"02M305 - Urban Assembly Academy of Government and Law, The",,,97.0,91.0,75.0,100.0,93.0,,
02M308 - Lower Manhattan Arts Academy,,,52.0,82.0,51.0,54.0,79.0,,
02M312 - New York City Lab Middle School for Collaborative Studies,,,94.0,92.0,80.0,95.0,94.0,,
"02M313 - James Baldwin School, The: A School for Expeditionary Learning",,,95.0,100.0,92.0,100.0,100.0,,
"02M316 - Urban Assembly School of Business for Young Women, the",,,90.0,86.0,79.0,90.0,89.0,,
02M340 - Sixth Avenue Elementary School,77.0,79.0,90.0,92.0,93.0,93.0,92.0,86.0,86.0
02M343 - The Peck Slip School,45.0,81.0,94.0,96.0,95.0,92.0,96.0,100.0,85.0
02M347 - The 47 American Sign Language & English Lower School,68.0,92.0,85.0,92.0,90.0,87.0,94.0,100.0,95.0
02M374 - Gramercy Arts High School,,,91.0,88.0,61.0,93.0,89.0,,
02M376 - NYC iSchool,,,95.0,94.0,82.0,97.0,95.0,,
02M392 - Manhattan Business Academy,,,,88.0,80.0,,80.0,,
02M393 - Business Of Sports School,,,98.0,92.0,81.0,97.0,93.0,,
02M394 - Emma Lazarus High School,,,97.0,98.0,75.0,99.0,98.0,,
02M397 - Spruce Street School,,,86.0,90.0,84.0,92.0,95.0,,
02M399 - The High School For Language And Diplomacy,,,78.0,93.0,81.0,86.0,93.0,,
02M400 - High School for Environmental Studies,,,88.0,92.0,79.0,91.0,95.0,,
02M407 - Institute for Collaborative Education,,,82.0,83.0,86.0,84.0,84.0,,
02M408 - Professional Performing Arts High School,,,95.0,88.0,81.0,97.0,92.0,,
02M411 - Baruch College Campus High School,,,90.0,89.0,72.0,91.0,90.0,,
02M412 - N.Y.C. Lab School for Collaborative Studies,,,95.0,96.0,87.0,97.0,96.0,,
02M413 - School of the Future High School,,,92.0,92.0,81.0,93.0,93.0,,
02M414 - N.Y.C. Museum School,,,96.0,89.0,76.0,96.0,92.0,,
02M416 - Eleanor Roosevelt High School,,,92.0,90.0,78.0,91.0,89.0,,
02M418 - Millennium High School,,,88.0,89.0,69.0,93.0,91.0,,
02M419 - Landmark High School,,,99.0,94.0,84.0,96.0,96.0,,
02M420 - High School for Health Professions and Human Services,,,92.0,88.0,56.0,93.0,92.0,,
02M422 - Quest to Learn,,,91.0,90.0,82.0,90.0,89.0,,
02M425 - Leadership and Public Service High School,,,91.0,96.0,83.0,97.0,98.0,,
02M427 - Manhattan Academy For Arts & Language,,,95.0,93.0,83.0,96.0,96.0,,
02M432 - Murray Hill Academy,,,97.0,95.0,63.0,95.0,95.0,,
02M437 - Hudson High School of Learning Technologies,,,85.0,85.0,76.0,86.0,88.0,,
02M438 - International High School at Union Square,,,96.0,92.0,79.0,98.0,93.0,,
02M439 - Manhattan Village Academy,,,99.0,95.0,83.0,98.0,96.0,,
"02M442 - Ballet Tech, NYC Public School for Dance",,,95.0,98.0,92.0,99.0,99.0,,
02M449 - Vanguard High School,,,86.0,92.0,69.0,94.0,92.0,,
02M459 - Manhattan International High School,,,98.0,91.0,76.0,97.0,93.0,,
02M475 - Stuyvesant High School,,,95.0,91.0,70.0,96.0,92.0,,
02M489 - High School of Economics and Finance,,,87.0,89.0,71.0,86.0,92.0,,
02M500 - Unity Center for Urban Technologies,,,100.0,96.0,65.0,99.0,98.0,,
02M507 - Urban Assembly Gateway School for Technology,,,98.0,97.0,86.0,98.0,97.0,,
02M519 - Talent Unlimited High School,,,95.0,94.0,80.0,98.0,95.0,,
02M520 - Murry Bergtraum High School for Business Careers,,,99.0,95.0,60.0,98.0,96.0,,
02M527 - P.S. 527 - East Side School for Social Action,,,97.0,96.0,95.0,96.0,97.0,,
02M529 - Jacqueline Kennedy Onassis High School,,,98.0,92.0,77.0,94.0,93.0,,
02M531 - Repertory Company High School for Theatre Arts,,,94.0,96.0,81.0,97.0,95.0,,
02M533 - Union Square Academy for Health Sciences,,,100.0,99.0,89.0,100.0,99.0,,
02M534 - Harvest Collegiate High School,,,94.0,89.0,80.0,91.0,94.0,,
02M542 - Manhattan Bridges High School,,,97.0,96.0,78.0,99.0,98.0,,
02M543 - New Design High School,,,85.0,90.0,64.0,93.0,91.0,,
02M545 - High School for Dual Language and Asian Studies,,,86.0,89.0,73.0,90.0,88.0,,
02M546 - Academy for Software Engineering,,,96.0,95.0,80.0,99.0,97.0,,
02M550 - Liberty High School Academy for Newcomers,,,98.0,95.0,76.0,99.0,96.0,,
