Name,Building Families' Capacity as their Child's Primary Advocate,Building Families' Capacity as their Child's Primary Teacher,Inclusive Leadership,Outreach to Parents,Parent Involvement in School,Parent-Principal Trust,Parent-Teacher Trust,Strong Relationships,Two-Way Communication
12X314 - Fairmont Neighborhood School,100.0,100.0,100.0,98.0,73.0,100.0,99.0,100.0,100.0
12X316 - Kappa III,,,95.0,93.0,82.0,93.0,94.0,,
"12X318 - I.S. X318 Math, Science & Technology Through Arts",,,93.0,95.0,82.0,96.0,96.0,,
12X341 - Accion Academy,,,99.0,98.0,84.0,100.0,99.0,,
12X383 - Emolior Academy,,,100.0,98.0,78.0,100.0,99.0,,
12X388 - Pan American International High School at Monroe,,,98.0,99.0,90.0,100.0,100.0,,
12X458 - Samara Community School,86.0,97.0,97.0,96.0,95.0,97.0,96.0,100.0,100.0
12X463 - Urban Scholars Community School,91.0,100.0,97.0,99.0,97.0,100.0,99.0,100.0,100.0
12X478 - The Cinema School,,,94.0,98.0,72.0,100.0,98.0,,
12X479 - Bronx Career and College Preparatory High School,,,93.0,88.0,80.0,85.0,85.0,,
12X480 - Bronx Regional High School,,,82.0,77.0,61.0,85.0,91.0,,
12X511 - Bronx Envision Academy,,,100.0,96.0,85.0,100.0,96.0,,
12X521 - The Metropolitan Soundview High School,,,96.0,91.0,62.0,97.0,91.0,,
12X531 - Archer Elementary School,,,95.0,93.0,87.0,96.0,96.0,,
12X536 - P.S. 536,89.0,100.0,98.0,98.0,86.0,99.0,99.0,100.0,100.0
12X550 - High School of World Cultures,,,97.0,92.0,78.0,97.0,94.0,,
12X595 - P.S. 595,,,98.0,97.0,77.0,96.0,96.0,,
12X682 - Fannie Lou Hamer Freedom High School,,,97.0,95.0,79.0,100.0,97.0,,
12X684 - Wings Academy,,,100.0,95.0,82.0,96.0,94.0,,
12X691 - Bronx Little School,,,97.0,96.0,91.0,98.0,95.0,,
13K003 - P.S. 003 The Bedford Village,93.0,100.0,95.0,92.0,88.0,96.0,96.0,100.0,100.0
13K008 - The Emily Warren Roebling School,,,88.0,91.0,88.0,90.0,89.0,,
13K009 - Public School 9 The Sarah Smith Garnet School,62.0,93.0,87.0,93.0,91.0,88.0,94.0,100.0,90.0
13K011 - P.S. 011 Purvis J. Behan,80.0,100.0,96.0,96.0,97.0,96.0,97.0,100.0,100.0
13K020 - P.S. 020 Clinton Hill,40.0,92.0,97.0,92.0,92.0,96.0,92.0,100.0,80.0
13K044 - P.S. 044 Marcus Garvey,83.0,100.0,93.0,90.0,80.0,81.0,90.0,100.0,
13K046 - P.S. 046 Edward C. Blum,,,92.0,91.0,91.0,96.0,94.0,,
13K056 - P.S. 056 Lewis H. Latimer,92.0,100.0,98.0,93.0,89.0,96.0,93.0,100.0,92.0
13K067 - P.S. 067 Charles A. Dorsey,80.0,100.0,96.0,97.0,90.0,98.0,96.0,100.0,100.0
13K093 - P.S. 093 William H. Prescott,,,94.0,92.0,92.0,94.0,90.0,,
13K113 - M.S. 113 Ronald Edmonds Learning Center,,,97.0,90.0,80.0,97.0,96.0,,
13K133 - P.S. 133 William A. Butler,,,86.0,91.0,93.0,88.0,95.0,,
13K256 - P.S. 256 Benjamin Banneker,,,73.0,88.0,41.0,75.0,74.0,,
13K265 - Dr. Susan S. McKinney Secondary School of the Arts,,,95.0,86.0,69.0,95.0,85.0,,
13K266 - M.S. K266 - Park Place Community Middle School,,,98.0,96.0,91.0,98.0,97.0,,
13K282 - P.S. 282 Park Slope,55.0,91.0,76.0,81.0,93.0,71.0,87.0,100.0,90.0
13K287 - P.S. 287 Bailey K. Ashford,100.0,100.0,98.0,97.0,87.0,99.0,99.0,100.0,100.0
13K301 - Restoration Academy,,,93.0,90.0,91.0,97.0,100.0,,
13K307 - P.S. 307 Daniel Hale Williams,100.0,100.0,98.0,97.0,92.0,95.0,98.0,100.0,100.0
13K313 - Dock Street School for STEAM Studies,,,86.0,90.0,93.0,87.0,94.0,,
13K350 - Urban Assembly School of Music and Art,,,100.0,92.0,88.0,100.0,100.0,,
13K351 - The Urban Assembly Unison School,,,98.0,97.0,88.0,98.0,98.0,,
13K412 - Brooklyn Community Arts & Media High School (BCAM),,,97.0,94.0,86.0,99.0,99.0,,
"13K419 - Science Skills Center High School for Science, Technology and the Creative Arts",,,95.0,93.0,86.0,94.0,93.0,,
13K430 - Brooklyn Technical High School,,,90.0,83.0,49.0,91.0,88.0,,
13K439 - Brooklyn International High School,,,99.0,95.0,84.0,99.0,98.0,,
13K483 - The Urban Assembly School for Law and Justice,,,94.0,92.0,88.0,95.0,94.0,,
13K492 - Academy of Arts and Letters,78.0,80.0,86.0,92.0,93.0,86.0,93.0,80.0,80.0
13K527 - Urban Assembly Institute of Math and Science for Young Women,,,94.0,93.0,84.0,93.0,95.0,,
13K595 - Bedford Academy High School,,,99.0,94.0,92.0,96.0,96.0,,
13K605 - George Westinghouse Career and Technical Education High School,,,97.0,92.0,76.0,97.0,94.0,,
13K616 - Brooklyn High School for Leadership and Community Service,,,100.0,98.0,81.0,100.0,97.0,,
13K670 - Benjamin Banneker Academy,,,94.0,93.0,87.0,94.0,94.0,,
"13K674 - City Polytechnic High School of Engineering, Architecture, and Technology",,,97.0,96.0,89.0,99.0,97.0,,
13K691 - Fort Greene Preparatory Academy,,,100.0,89.0,87.0,96.0,97.0,,
13K915 - Bridges: A School for Exploration and Equity,,,97.0,90.0,84.0,98.0,93.0,,
14K016 - P.S. 016 Leonard Dunkly,,,98.0,99.0,89.0,100.0,99.0,,
14K017 - P.S. 017 Henry D. Woodworth,75.0,100.0,95.0,97.0,95.0,92.0,96.0,100.0,100.0
14K018 - P.S. 018 Edward Bush,,,98.0,98.0,92.0,100.0,99.0,,
14K023 - P.S. 023 Carter G. Woodson,77.0,93.0,94.0,93.0,87.0,94.0,95.0,87.0,93.0
14K031 - P.S. 031 Samuel F. Dupont,63.0,92.0,96.0,97.0,90.0,98.0,97.0,96.0,94.0
14K034 - P.S. 034 Oliver H. Perry,76.0,100.0,97.0,98.0,95.0,99.0,97.0,100.0,94.0
14K050 - J.H.S. 050 John D. Wells,,,100.0,99.0,95.0,100.0,99.0,,
14K059 - P.S. 059 William Floyd,90.0,95.0,96.0,96.0,88.0,96.0,96.0,95.0,95.0
14K071 - Juan Morel Campos Secondary School,,,98.0,93.0,89.0,98.0,97.0,,
14K084 - P.S. 084 Jose De Diego,,,93.0,96.0,89.0,95.0,96.0,,
14K110 - P.S. 110 The Monitor,76.0,96.0,88.0,93.0,89.0,89.0,96.0,100.0,97.0
14K120 - P.S. 120 Carlos Tapia,85.0,93.0,97.0,97.0,92.0,99.0,98.0,100.0,93.0
14K126 - John Ericsson Middle School 126,,,97.0,97.0,90.0,97.0,97.0,,
14K132 - P.S. 132 The Conselyea School,20.0,80.0,71.0,81.0,89.0,73.0,84.0,100.0,83.0
14K147 - P.S. 147 Isaac Remsen,83.0,92.0,85.0,91.0,83.0,86.0,92.0,100.0,100.0
14K157 - P.S./I.S. 157 The Benjamin Franklin Health & Science Academy,,,99.0,98.0,82.0,97.0,96.0,,
14K196 - P.S. 196 Ten Eyck,83.0,100.0,97.0,99.0,97.0,98.0,99.0,100.0,100.0
14K250 - P.S. 250 George H. Lindsay,89.0,100.0,95.0,95.0,93.0,97.0,95.0,88.0,89.0
14K257 - P.S. 257 John F. Hylan,82.0,98.0,95.0,94.0,90.0,96.0,96.0,100.0,95.0
14K297 - P.S. 297 Abraham Stockton,,,98.0,93.0,94.0,96.0,95.0,,
14K318 - I.S. 318 Eugenio Maria De Hostos,,,89.0,90.0,81.0,94.0,91.0,,
14K319 - P.S. 319,84.0,98.0,96.0,97.0,92.0,96.0,95.0,100.0,96.0
14K380 - P.S. 380 John Wayne Elementary,,,95.0,98.0,89.0,97.0,98.0,,
14K414 - Brooklyn Arbor Elementary School,89.0,95.0,96.0,97.0,91.0,97.0,98.0,100.0,100.0
"14K449 - Brooklyn Latin School, The",,,93.0,91.0,67.0,93.0,92.0,,
14K454 - The Williamsburg High School of Art and Technology,,,95.0,92.0,76.0,89.0,88.0,,
14K474 - PROGRESS High School for Professional Careers,,,94.0,94.0,63.0,98.0,97.0,,
14K477 - East Williamsburg Scholars Academy,,,92.0,91.0,68.0,93.0,93.0,,
"14K478 - The High School for Enterprise, Business and Technology",,,88.0,88.0,60.0,92.0,91.0,,
14K488 - Brooklyn Preparatory High School,,,100.0,100.0,79.0,100.0,100.0,,
14K558 - Williamsburg High School for Architecture and Design,,,97.0,94.0,76.0,97.0,95.0,,
14K561 - Williamsburg Preparatory School,,,98.0,95.0,86.0,100.0,96.0,,
14K577 - Conselyea Preparatory School,,,96.0,97.0,86.0,98.0,97.0,,
14K582 - M.S. 582,,,94.0,89.0,76.0,93.0,89.0,,
14K586 - Lyons Community School,,,96.0,98.0,88.0,97.0,96.0,,
14K610 - A-Tech High School,,,99.0,95.0,78.0,98.0,99.0,,
14K614 - Young Women's Leadership School of Brooklyn,,,98.0,95.0,81.0,97.0,97.0,,
14K685 - El Puente Academy for Peace and Justice,,,97.0,96.0,78.0,97.0,95.0,,
15K001 - P.S. 001 The Bergen,100.0,100.0,95.0,93.0,87.0,95.0,94.0,100.0,88.0
"15K010 - Magnet School of Math, Science and Design Technology",,,97.0,95.0,91.0,97.0,97.0,,
15K015 - P.S. 015 Patrick F. Daly,100.0,100.0,99.0,99.0,92.0,99.0,99.0,100.0,100.0
15K024 - P.S. 024,84.0,100.0,99.0,99.0,95.0,99.0,99.0,100.0,100.0
15K029 - P.S. 029 John M. Harrigan,56.0,100.0,94.0,96.0,93.0,96.0,96.0,100.0,100.0
15K032 - P.S. 032 Samuel Mills Sprole,62.0,85.0,79.0,89.0,94.0,83.0,91.0,92.0,92.0
15K038 - P.S. 038 The Pacific,91.0,100.0,98.0,96.0,93.0,98.0,97.0,100.0,100.0
15K039 - P.S. 039 Henry Bristow,,,84.0,84.0,86.0,81.0,88.0,,
15K051 - M.S. 51 William Alexander,,,89.0,81.0,72.0,92.0,86.0,,
15K058 - P.S. 058 The Carroll,63.0,95.0,80.0,92.0,92.0,79.0,91.0,100.0,100.0
15K088 - J.H.S. 088 Peter Rouget,,,90.0,88.0,78.0,93.0,92.0,,
15K094 - P.S. 094 The Henry Longfellow,,,98.0,98.0,86.0,98.0,98.0,,
15K107 - P.S. 107 John W. Kimball,40.0,75.0,95.0,96.0,91.0,96.0,96.0,83.0,83.0
15K118 - The Maurice Sendak Community School,,,89.0,97.0,90.0,90.0,99.0,,
15K124 - P.S. 124 Silas B. Dutcher,71.0,100.0,97.0,96.0,88.0,97.0,98.0,100.0,100.0
15K130 - P.S. 130 The Parkside,84.0,98.0,87.0,90.0,92.0,85.0,93.0,100.0,100.0
15K131 - P.S. 131 Brooklyn,100.0,95.0,96.0,96.0,86.0,97.0,96.0,100.0,89.0
15K136 - I.S. 136 Charles O. Dewey,,,96.0,89.0,78.0,93.0,94.0,,
"15K146 - The Brooklyn New School, P.S. 146",60.0,100.0,97.0,96.0,95.0,97.0,96.0,100.0,100.0
15K154 - The Windsor Terrace School,,,93.0,94.0,91.0,96.0,95.0,,
15K169 - P.S. 169 Sunset Park,,,98.0,97.0,78.0,98.0,98.0,,
15K172 - P.S. 172 Beacon School of Excellence,82.0,97.0,98.0,99.0,95.0,99.0,99.0,97.0,100.0
15K230 - P.S. 230 Doris L. Cohen,75.0,100.0,91.0,95.0,92.0,93.0,95.0,100.0,100.0
15K261 - P.S. 261 Zipporiah Mills,78.0,100.0,91.0,90.0,90.0,92.0,94.0,90.0,100.0
15K295 - P.S. 295,,90.0,91.0,95.0,94.0,92.0,96.0,80.0,60.0
15K321 - P.S. 321 William Penn,,,97.0,97.0,95.0,98.0,98.0,,
15K418 - The Children's School,,,87.0,97.0,93.0,93.0,95.0,,
15K423 - Brooklyn Frontiers High School,,,97.0,98.0,73.0,100.0,97.0,,
15K429 - Digital Arts and Cinema Technology High School,,,94.0,91.0,81.0,92.0,95.0,,
15K442 - M.S. 442 Carroll Gardens School for Innovation,,,91.0,91.0,85.0,95.0,91.0,,
15K443 - New Voices School of Academic & Creative Arts,,,83.0,87.0,78.0,93.0,87.0,,
15K447 - The Math & Science Exploratory School,,,92.0,86.0,84.0,97.0,91.0,,
15K448 - Brooklyn Collaborative Studies,,,97.0,94.0,86.0,98.0,94.0,,
15K462 - John Jay School for Law,,,92.0,87.0,86.0,98.0,96.0,,
15K463 - Cyberarts Studio Academy,,,92.0,83.0,50.0,95.0,77.0,,
15K464 - Park Slope Collegiate,,,92.0,90.0,86.0,93.0,92.0,,
15K497 - The Boerum Hill School for International Studies,,,90.0,85.0,80.0,88.0,92.0,,
15K516 - Sunset Park Avenues Elementary School,81.0,100.0,93.0,94.0,89.0,98.0,97.0,100.0,95.0
15K519 - Cobble Hill School of American Studies,,,90.0,92.0,74.0,89.0,93.0,,
15K529 - West Brooklyn Community High School,,,100.0,86.0,90.0,90.0,91.0,,
15K592 - Khalil Gibran International Academy,,,100.0,96.0,92.0,100.0,100.0,,
15K656 - Brooklyn High School of the Arts,,,98.0,94.0,87.0,100.0,98.0,,
15K667 - Sunset Park High School,,,95.0,86.0,70.0,91.0,90.0,,
15K676 - Red Hook Neighborhood School,86.0,86.0,97.0,97.0,86.0,97.0,96.0,100.0,100.0
15K684 - Millennium Brooklyn HS,,,96.0,93.0,82.0,98.0,95.0,,
15K698 - South Brooklyn Community High School,,,97.0,98.0,82.0,99.0,100.0,,
15K821 - Sunset Park Prep,,,96.0,93.0,92.0,99.0,96.0,,
15K839 - M.S. 839,,,97.0,94.0,88.0,98.0,96.0,,
15K863 - Pre-K Center At Bishop Ford School Site,49.0,91.0,94.0,93.0,95.0,95.0,96.0,98.0,95.0
15K896 - The School of Creativity and Innovation,58.0,96.0,96.0,97.0,90.0,98.0,98.0,92.0,92.0
16K005 - P.S. 005 Dr. Ronald McNair,40.0,100.0,99.0,98.0,93.0,99.0,100.0,100.0,100.0
16K021 - P.S. 021 Crispus Attucks,79.0,93.0,96.0,97.0,96.0,96.0,98.0,93.0,93.0
16K025 - P.S. 025 Eubie Blake School,,,97.0,94.0,87.0,95.0,96.0,,
16K026 - P.S. 026 Jesse Owens,100.0,100.0,93.0,91.0,95.0,89.0,93.0,100.0,100.0
16K035 - M.S. 035 Stephen Decatur,,,97.0,98.0,88.0,99.0,98.0,,
16K040 - P.S. 040 George W. Carver,,,98.0,98.0,96.0,99.0,95.0,,
16K057 - Whitelaw Reid Academy of Arts and Business,,,96.0,96.0,82.0,99.0,99.0,,
16K081 - P.S. 081 Thaddeus Stevens,91.0,87.0,90.0,83.0,80.0,84.0,84.0,93.0,94.0
16K243 - P.S. 243K- The Weeksville School,100.0,100.0,99.0,99.0,89.0,98.0,98.0,100.0,100.0
16K262 - P.S. 262 El Hajj Malik El Shabazz Elementary School,,,97.0,98.0,79.0,91.0,94.0,,
"16K267 - M.S. 267 Math, Science & Technology",,,100.0,99.0,97.0,99.0,99.0,,
16K308 - P.S. 308 Clara Cardwell,100.0,100.0,93.0,92.0,89.0,94.0,92.0,100.0,100.0
16K309 - P.S. 309 The George E. Wibecan Preparatory Academy,75.0,98.0,96.0,95.0,96.0,94.0,97.0,96.0,96.0
16K335 - P.S. 335 Granville T. Woods,70.0,100.0,99.0,98.0,93.0,98.0,100.0,100.0,100.0
16K455 - Boys and Girls High School,,,92.0,97.0,72.0,95.0,93.0,,
16K498 - Brooklyn High School for Law and Technology,,,91.0,86.0,71.0,90.0,87.0,,
16K627 - Brighter Choice Community School,75.0,92.0,100.0,98.0,93.0,100.0,100.0,100.0,96.0
16K628 - Brooklyn Brownstone School,94.0,100.0,100.0,100.0,100.0,99.0,100.0,100.0,100.0
16K669 - Research and Service High School,,,100.0,90.0,88.0,96.0,100.0,,
16K688 - The Brooklyn Academy of Global Finance,,,96.0,83.0,71.0,92.0,96.0,,
16K765 - Nelson Mandela High School,,,93.0,93.0,82.0,93.0,93.0,,
16K898 - The Brooklyn Green School,,,100.0,98.0,90.0,100.0,100.0,,
17K002 - Parkside Preparatory Academy,,,94.0,89.0,85.0,92.0,92.0,,
17K006 - Norma Adams Clemons Academy,,,85.0,94.0,93.0,85.0,90.0,,
17K012 - Dr. Jacqueline Peek-Davis School,,,98.0,98.0,91.0,94.0,100.0,,
17K061 - M.S. 061 Dr. Gladstone H. Atwell,,,100.0,93.0,91.0,98.0,100.0,,
17K091 - P.S. 091 The Albany Avenue School,,,91.0,92.0,88.0,89.0,91.0,,
17K092 - P.S. 092 Adrian Hegeman,,,100.0,97.0,100.0,100.0,100.0,,
17K122 - Pathways in Technology Early College High School (P-Tech),,,86.0,85.0,76.0,91.0,91.0,,
17K138 - P.S. 138 Brooklyn,,,90.0,88.0,91.0,84.0,91.0,,
17K161 - P.S. 161 The Crown,83.0,85.0,100.0,98.0,96.0,100.0,98.0,100.0,83.0
17K181 - P.S. 181 Brooklyn,,,98.0,97.0,90.0,97.0,99.0,,
17K189 - P.S. 189 The Bilingual Center,,,96.0,95.0,96.0,97.0,95.0,,
17K191 - P.S. 191 Paul Robeson,,,100.0,100.0,88.0,100.0,100.0,,
17K221 - P.S. 221 Toussaint L'Ouverture,,,93.0,97.0,88.0,91.0,91.0,,
17K241 - P.S. 241 Emma L. Johnston,77.0,99.0,98.0,96.0,91.0,99.0,99.0,97.0,100.0
17K246 - M.S. 246 Walt Whitman,,,91.0,84.0,83.0,88.0,88.0,,
17K249 - P.S. 249 The Caton,86.0,93.0,95.0,95.0,94.0,94.0,96.0,100.0,91.0
17K289 - P.S. 289 George V. Brower,,,96.0,96.0,84.0,99.0,96.0,,
17K316 - P.S. 316 Elijah Stroud,75.0,100.0,93.0,94.0,92.0,95.0,96.0,100.0,100.0
17K340 - I.S. 340,,,100.0,96.0,81.0,99.0,98.0,,
17K352 - Ebbets Field Middle School,,,100.0,99.0,85.0,99.0,99.0,,
17K353 - Elijah Stroud Middle School,,,98.0,96.0,88.0,97.0,98.0,,
17K354 - The School of Integrated Learning,,,100.0,99.0,94.0,100.0,99.0,,
17K375 - P.S. 375 Jackie Robinson School,,,92.0,91.0,91.0,89.0,96.0,,
17K382 - Academy for College Preparation and Career Exploration: A College Board School,,,94.0,91.0,76.0,93.0,94.0,,
17K394 - M.S. K394,,,97.0,98.0,96.0,97.0,98.0,,
17K397 - P.S. 397 Foster-Laurie,89.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
17K398 - P.S. 398 Walter Weaver,,,98.0,98.0,90.0,98.0,97.0,,
17K399 - P.S. 399 Stanley Eugene Clark,,,99.0,97.0,95.0,99.0,96.0,,
17K408 - Academy of Hospitality and Tourism,,,91.0,89.0,70.0,91.0,91.0,,
17K484 - Ronald Edmonds Learning Center II,,,100.0,100.0,99.0,100.0,100.0,,
17K524 - International High School at Prospect Heights,,,95.0,99.0,90.0,97.0,96.0,,
17K528 - The High School for Global Citizenship,,,90.0,92.0,77.0,93.0,95.0,,
"17K531 - School for Human Rights, The",,,95.0,93.0,76.0,94.0,95.0,,
17K532 - New Bridges Elementary,83.0,100.0,99.0,98.0,95.0,98.0,98.0,100.0,100.0
17K537 - High School for Youth and Community Development at Erasmus,,,100.0,99.0,94.0,99.0,100.0,,
17K539 - High School for Service & Learning at Erasmus,,,76.0,83.0,81.0,77.0,76.0,,
"17K543 - Science, Technology and Research Early College High School at Erasmus",,,95.0,90.0,79.0,97.0,93.0,,
17K546 - High School for Public Service: Heroes of Tomorrow,,,91.0,93.0,77.0,95.0,94.0,,
17K547 - Brooklyn Academy of Science and the Environment,,,94.0,93.0,83.0,93.0,93.0,,
17K548 - Brooklyn School for Music & Theatre,,,100.0,96.0,90.0,100.0,100.0,,
17K590 - Medgar Evers College Preparatory School,,,82.0,79.0,84.0,83.0,77.0,,
17K600 - Clara Barton High School,,,94.0,83.0,75.0,96.0,85.0,,
17K705 - Brooklyn Arts and Science Elementary School,,,95.0,95.0,93.0,95.0,93.0,,
17K722 - New Heights Middle School,,,99.0,98.0,88.0,100.0,99.0,,
17K745 - Brooklyn Institute for Liberal Arts,,,94.0,94.0,84.0,94.0,97.0,,
17K751 - Academy for Health Careers,,,95.0,87.0,66.0,96.0,92.0,,
17K770 - P.S. 770 New American Academy,30.0,95.0,99.0,99.0,95.0,96.0,99.0,100.0,90.0
18K066 - P.S. 66,,,85.0,88.0,81.0,86.0,88.0,,
18K068 - I.S. 068 Isaac Bildersee,,,100.0,100.0,97.0,100.0,100.0,,
18K114 - P.S. 114 Ryder Elementary,75.0,100.0,95.0,94.0,87.0,95.0,94.0,100.0,100.0
18K115 - P.S. 115 Daniel Mucatel School,88.0,96.0,96.0,95.0,88.0,97.0,95.0,97.0,97.0
18K135 - P.S. 135 Sheldon A. Brookner,,100.0,97.0,96.0,89.0,99.0,98.0,,
18K208 - P.S. 208 Elsa Ebeling,,,91.0,92.0,87.0,91.0,92.0,,
18K211 - I.S. 211 John Wilson,,,85.0,88.0,70.0,85.0,80.0,,
18K219 - P.S. 219 Kennedy-King,80.0,100.0,92.0,90.0,86.0,93.0,89.0,100.0,100.0
18K233 - P.S. 233 Langston Hughes,,,93.0,94.0,88.0,95.0,89.0,,
18K235 - P.S. 235 Janice Marie Knight School,40.0,83.0,95.0,92.0,90.0,95.0,94.0,100.0,83.0
18K244 - P.S. 244 Richard R. Green,,,87.0,92.0,94.0,88.0,92.0,,
18K268 - P.S. 268 Emma Lazarus,,,100.0,95.0,85.0,99.0,98.0,,
18K272 - P.S. 272 Curtis Estabrook,,,96.0,95.0,88.0,93.0,96.0,,
18K276 - P.S. 276 Louis Marshall,92.0,100.0,98.0,97.0,88.0,98.0,95.0,100.0,93.0
18K279 - P.S. 279 Herman Schreiber,,,93.0,93.0,91.0,98.0,95.0,,
18K285 - I.S. 285 Meyer Levin,,,97.0,86.0,80.0,93.0,89.0,,
18K366 - The Science And Medicine Middle School,,,79.0,85.0,83.0,85.0,85.0,,
18K563 - It Takes a Village Academy,,,90.0,91.0,82.0,90.0,91.0,,
18K566 - Brooklyn Community High School for Excellence and Equity,,,95.0,93.0,88.0,92.0,91.0,,
18K567 - Brooklyn Theatre Arts High School,,,98.0,97.0,66.0,97.0,98.0,,
18K569 - Kurt Hahn Expeditionary Learning School,,,98.0,89.0,71.0,100.0,90.0,,
18K576 - Victory Collegiate High School,,,100.0,100.0,88.0,100.0,100.0,,
"18K581 - The Middle School of Media, Law and Fine Arts",,,89.0,86.0,87.0,80.0,89.0,,
18K588 - Middle School for Art and Philosophy,,,96.0,96.0,85.0,96.0,97.0,,
18K617 - High School for Innovation in Advertising and Media,,,98.0,96.0,81.0,96.0,98.0,,
18K629 - Cultural Academy for the Arts and Sciences,,,100.0,96.0,76.0,97.0,97.0,,
18K633 - High School for Medical Professions,,,81.0,90.0,75.0,93.0,91.0,,
18K635 - Olympus Academy,,,99.0,96.0,77.0,99.0,96.0,,
18K637 - Academy for Conservation and the Environment,,,100.0,100.0,70.0,100.0,100.0,,
18K642 - Urban Action Academy,,,99.0,98.0,85.0,99.0,99.0,,
18K673 - East Brooklyn Community High School,,,95.0,97.0,83.0,96.0,94.0,,
18K763 - Brooklyn Science and Engineering Academy,,,99.0,94.0,93.0,98.0,98.0,,
19K007 - P.S. 007 Abraham Lincoln,94.0,100.0,98.0,97.0,93.0,99.0,98.0,100.0,89.0
19K013 - P.S. 013 Roberto Clemente,97.0,99.0,99.0,98.0,75.0,98.0,98.0,100.0,100.0
19K065 - P.S. 065,85.0,98.0,95.0,97.0,92.0,96.0,97.0,100.0,100.0
19K089 - P.S. 089 Cypress Hills,94.0,100.0,99.0,99.0,97.0,99.0,100.0,100.0,100.0
19K108 - P.S. 108 Sal Abbracciamento,88.0,96.0,96.0,95.0,88.0,95.0,96.0,97.0,93.0
19K149 - P.S. 149 Danny Kaye,95.0,100.0,91.0,90.0,93.0,91.0,90.0,100.0,100.0
19K158 - P.S. 158 Warwick,58.0,95.0,86.0,89.0,91.0,86.0,89.0,100.0,100.0
19K159 - P.S. 159 Isaac Pitkin,,,96.0,94.0,83.0,98.0,97.0,,
19K171 - I.S. 171 Abraham Lincoln,,,97.0,93.0,80.0,96.0,94.0,,
19K190 - P.S. 190 Sheffield,,,82.0,93.0,84.0,82.0,97.0,,
19K202 - P.S. 202 Ernest S. Jenkyns,100.0,100.0,99.0,99.0,94.0,99.0,99.0,100.0,100.0
19K213 - P.S. 213 New Lots,84.0,95.0,96.0,94.0,89.0,94.0,96.0,95.0,95.0
19K214 - P.S. 214 Michael Friedsam,80.0,93.0,96.0,97.0,87.0,97.0,97.0,100.0,97.0
19K218 - J.H.S. 218 James P. Sinnott,,,88.0,85.0,75.0,89.0,85.0,,
19K224 - P.S. 224 Hale A. Woodruff,100.0,100.0,100.0,99.0,98.0,100.0,99.0,100.0,100.0
19K273 - P.S. 273 Wortman,60.0,90.0,93.0,95.0,93.0,95.0,95.0,91.0,89.0
19K290 - P.S. 290 Juan Morel Campos,,,97.0,94.0,97.0,95.0,94.0,,
19K292 - J.H.S. 292 Margaret S. Douglas,,,89.0,91.0,70.0,91.0,92.0,,
19K306 - P.S. 306 Ethan Allen,88.0,98.0,97.0,98.0,87.0,97.0,97.0,100.0,96.0
19K325 - The Fresh Creek School,100.0,91.0,99.0,99.0,89.0,99.0,99.0,100.0,91.0
19K328 - P.S. 328 Phyllis Wheatley,92.0,100.0,93.0,94.0,88.0,94.0,95.0,100.0,100.0
19K345 - P.S. 345 Patrolman Robert Bolden,68.0,89.0,98.0,98.0,81.0,98.0,97.0,95.0,86.0
19K346 - P.S. 346 Abe Stark,86.0,85.0,98.0,94.0,86.0,97.0,96.0,86.0,86.0
19K364 - I.S. 364 Gateway,,,97.0,96.0,82.0,100.0,93.0,,
19K404 - Academy for Young Writers,,,97.0,90.0,93.0,98.0,95.0,,
19K409 - East New York Family Academy,,,98.0,97.0,82.0,99.0,97.0,,
19K422 - Spring Creek Community School,,,95.0,89.0,80.0,89.0,89.0,,
19K452 - Frederick Douglass Academy VIII Middle School,,,98.0,96.0,87.0,98.0,97.0,,
19K502 - FDNY - Captain Vernon A. Richard High School for Fire and Life Safety,,,93.0,94.0,69.0,95.0,90.0,,
19K504 - High School for Civil Rights,,,98.0,93.0,77.0,98.0,94.0,,
19K507 - Performing Arts and Technology High School,,,93.0,93.0,72.0,93.0,93.0,,
19K510 - World Academy for Total Community Health High School,,,100.0,100.0,71.0,100.0,100.0,,
19K557 - Brooklyn Gardens Elementary School,100.0,88.0,98.0,96.0,94.0,96.0,97.0,100.0,92.0
19K615 - Transit Tech Career and Technical Education High School,,,91.0,93.0,80.0,89.0,94.0,,
19K618 - Academy of Innovative Technology,,,95.0,97.0,86.0,97.0,94.0,,
19K639 - Brooklyn Lab School,,,100.0,97.0,79.0,100.0,99.0,,
19K654 - Van Siclen Community Middle School,,,93.0,88.0,83.0,93.0,88.0,,
19K659 - Cypress Hills Collegiate Preparatory School,,,95.0,90.0,62.0,95.0,93.0,,
19K660 - W. H. Maxwell Career and Technical Education High School,,,90.0,83.0,70.0,89.0,87.0,,
19K661 - Vista Academy,,,93.0,87.0,84.0,91.0,88.0,,
19K662 - Liberty Avenue Middle School,,,100.0,99.0,60.0,100.0,99.0,,
19K663 - School of the Future Brooklyn,,,88.0,88.0,76.0,85.0,90.0,,
19K677 - East New York Elementary School of Excellence,80.0,100.0,94.0,94.0,91.0,92.0,92.0,100.0,100.0
19K678 - East New York Middle School of Excellence,,,100.0,99.0,86.0,100.0,100.0,,
19K683 - School for Classics High School,,,97.0,98.0,79.0,99.0,98.0,,
19K760 - Highland Park Community School,,,93.0,91.0,82.0,93.0,90.0,,
19K764 - The Urban Assembly School for Collaborative Healthcare,,,90.0,93.0,77.0,93.0,91.0,,
