DBN,School Name,Location Type,"Total Guidance Counselors (GC) & Social Workers (SW)


(includes GCs, SWs, ATRs, School Response Clinicians, High Needs Counselors, High Need SWs, Single Shepherds, Bridging the Gap SWs)",Total GC,Total SW,Full-time GC,Full-Time SW,Part-time GC,Part-Time SW,Bilingual GC,Bilingual SW,GC Serving More than One Location,SW Serving More than One Location,High Needs GC,High Needs SW,Bridging the Gap,School Response Clinician,Single Shepherd,Learning to Work,School Psychologist Providing Mandated Counseling,CBO Partner for Mental Health Support,2020-21 SY Enrollment,Ratio GC & SW,Ratio GC Only,Ratio SW Only
06M052,Harold O. Levy School,Junior High-Intermediate-Middle,1.2,0,1.2,0,1.2,0,0,0,1,0,0,false,no,false,false,false,false,false,no,248,207,248,207
06M098,P.S. 098 Shorac Kappock,Elementary,2.4,1,1.4,1,1.4,0,0,1,0,0,0,false,ARPA funded,false,false,false,false,false,no,360,150,360,257
06M103,Dos Puentes Elementary School,Elementary,2.2,1,1.2,1,1.2,0,0,1,1,0,0,false,no,false,false,false,false,false,no,420,191,420,350
06M115,P.S. 115 Alexander Humboldt,Elementary,1.6,1,0.6,1,0.6,0,0,0,1,0,0,false,no,false,false,false,false,false,no,394,246,394,394
06M128,P.S. 128 Audubon,Elementary,1.4,1,0.4,1,0.4,0,0,1,1,0,0,false,no,false,false,false,false,false,no,563,402,563,563
06M132,P.S. 132 Juan Pablo Duarte,Elementary,1.6,1,0.6,1,0.6,0,0,1,0,0,0,false,no,false,false,false,false,false,no,186,116,186,186
06M143,J.H.S. 143 Eleanor Roosevelt,Junior High-Intermediate-Middle,2.2,1,1.2,1,1.2,0,0,1,0,0,0,false,ARPA funded,false,false,false,false,false,no,225,102,225,188
06M152,P.S. 152 Dyckman Valley,Elementary,3.8,2,1.8,2,1.8,0,0,2,0,0,0,false,no,false,false,false,false,false,no,490,129,245,272
06M153,P.S. 153 Adam Clayton Powell,Elementary,1.3,1,0.3,1,0.3,0,0,1,0,0,0,false,no,false,false,false,false,false,no,434,334,434,434
06M173,P.S. 173,Elementary,1.4,1,0.4,1,0.4,0,0,0,0,0,0,false,no,false,false,false,false,false,no,444,317,444,444
06M178,Professor Juan Bosch Public School,Elementary,1.6,0,1.6,0,1.6,0,0,0,1,0,0,false,no,false,false,false,false,false,no,262,164,262,164
06M187,P.S./I.S. 187 Hudson Cliffs,K-8,3.4,3,0.4,3,0.4,0,0,0,0,0,0,false,no,false,false,false,false,false,no,739,217,246,739
06M189,P.S. 189,Elementary,2.6,2,0.6,2,0.6,0,0,1,0,0,0,false,no,false,false,false,false,false,no,569,219,285,569
06M192,P.S. 192 Jacob H. Schiff,Elementary,1.3,0,1.3,0,1.3,0,0,0,1,0,0,false,no,false,false,false,false,false,no,316,243,316,243
06M209,Hamilton Grange Middle School,Junior High-Intermediate-Middle,3.3,3,0.3,3,0.3,0,0,0,0,0,0,true,no,false,false,false,false,false,no,336,102,112,336
06M210,P.S./I.S. 210 - Twenty-first Century Academy for Community Leadership,K-8,2.4,1,1.4,1,1.4,0,0,1,0,0,0,false,ARPA funded,false,false,false,false,false,no,423,176,423,302
06M211,Inwood Early College for Health and Information Technologies,High school,5.0,2,3,2,3,0,0,0,0,0,0,false,no,false,false,false,false,false,no,425,85,213,142
06M223,The Mott Hall School,Junior High-Intermediate-Middle,2.0,1,1,1,1,0,0,0,0,0,0,false,ARPA funded,false,false,false,false,false,no,269,135,269,269
06M278,Paula Hedbavny School,K-8,2.4,1,1.4,1,1.4,0,0,0,0,0,0,false,ARPA funded,false,false,false,false,false,no,471,196,471,336
06M293,City College Academy of the Arts,Secondary School,3.0,3,0,3,0,0,0,2,0,0,0,false,no,false,false,false,false,false,no,611,204,204,611
06M311,Amistad Dual Language School,K-8,2.2,1,1.2,1,1.2,0,0,0,0,0,0,false,ARPA funded,false,false,false,false,false,no,407,185,407,339
06M314,Muscota,Elementary,2.2,1,1.2,1,1.2,0,0,0,0,0,0,false,ARPA funded,false,false,false,false,false,no,293,133,293,244
06M319,M.S. 319 - Maria Teresa,Junior High-Intermediate-Middle,2.2,1,1.2,1,1.2,0,0,0,1,0,0,false,no,false,false,false,false,false,no,320,145,320,267
06M322,Middle School 322,Junior High-Intermediate-Middle,1.2,1,0.2,1,0.2,0,0,0,0,0,0,true,no,false,false,false,false,false,no,292,243,292,292
06M324,M.S. 324 - Patria Mirabal,Junior High-Intermediate-Middle,1.2,1,0.2,1,0.2,0,0,1,0,0,0,false,no,false,false,false,false,false,no,268,223,268,268
06M328,Community Math & Science Prep,Junior High-Intermediate-Middle,2.0,1,1,1,1,0,0,0,0,0,0,false,ARPA funded,false,false,false,false,false,no,134,67,134,134
06M346,Community Health Academy of the Heights,Secondary School,4.2,2,2.2,2,2.2,0,0,0,0,0,0,false,no,false,false,false,false,false,no,660,157,330,300
06M348,Washington Heights Expeditionary Learning School,K-12 all grades,5.4,2,3.4,2,3.4,0,0,0,0,0,0,false,no,false,false,false,false,false,no,952,176,476,280
06M349,Harbor Heights,Junior High-Intermediate-Middle,1.4,1,0.4,1,0.4,0,0,0,0,0,0,false,no,false,false,false,false,false,no,98,70,98,98
06M366,Washington Heights Academy,K-8,2.2,1,1.2,1,1.2,0,0,0,0,0,0,false,ARPA funded,false,false,false,false,false,no,547,249,547,456
06M368,The William Lynch School,Elementary,2.3,1,1.3,1,1.3,0,0,0,0,0,0,false,ARPA funded,false,false,false,false,false,no,208,90,208,160
06M423,High School for Excellence and Innovation,High school,1.0,0,1,0,1,0,0,0,0,0,0,false,ARPA funded,false,false,false,true,false,no,169,169,169,169
06M462,The College Academy,High school,3.2,2,1.2,2,1.2,0,0,2,0,0,0,false,ARPA funded,false,false,false,false,false,no,359,112,180,299
06M463,High School for Media and Communications,High school,3.2,2,1.2,2,1.2,0,0,0,0,0,0,false,ARPA funded,false,false,false,false,false,no,328,103,164,273
06M467,High School for Law and Public Service,High school,3.2,2,1.2,2,1.2,0,0,0,1,0,0,false,no,false,false,false,false,false,no,449,140,225,374
06M468,High School for Health Careers and Sciences,High school,3.2,2,1.2,2,1.2,0,0,1,0,0,0,false,ARPA funded,false,false,false,false,false,no,396,124,198,330
06M513,Castle Bridge School,Elementary,1.0,0,1,0,1,0,0,0,0,0,0,false,no,false,false,false,false,false,no,179,179,179,179
06M528,I.S. 528 Bea Fuller Rodgers School,Junior High-Intermediate-Middle,2.0,1,1,1,1,0,0,1,0,0,0,false,ARPA funded,false,false,false,false,false,no,254,127,254,254
06M540,A. Philip Randolph Campus High School,High school,11.6,9,2.6,9,2.6,0,0,2,0,0,0,false,no,true,false,false,false,false,no,"1,505",130,167,579
06M552,Gregorio Luperon High School for Science and Mathematics,High school,4.0,4,0,4,0,0,0,0,0,0,0,false,ARPA funded,false,false,false,false,false,no,539,135,135,539
07X001,P.S. 001 Courtlandt School,Elementary,3.8,2,1.8,2,1.8,0,0,0,1,0,0,false,no,true,false,false,false,false,no,533,140,267,296
07X005,P.S. 5 Port Morris,K-8,5.8,3,2.8,3,2.8,0,0,0,0,0,0,false,no,false,false,true,false,false,no,610,105,203,218
